,date_posted,hook,video_type,platform,views,likes,shares,saves,comments
0,2026-01-01,Why you can't lose weight,Emotional,Instagram,15929,1858,133,347,535
1,2026-01-02,Stop doing this at night,POV,TikTok,13790,2386,443,145,598
2,2026-01-03,Mental health truth,Authority,TikTok,34592,4439,621,319,534
3,2026-01-04,Hidden anxiety signs,Emotional,TikTok,25822,57,372,38,357
4,2026-01-05,Weight loss mistake,Emotional,Instagram,21006,4648,710,153,313
5,2026-01-06,Sleep affects weight,Authority,Instagram,5051,4572,721,652,585
6,2026-01-07,Stress and fat gain,Authority,TikTok,21736,1082,864,363,143
7,2026-01-08,Why diets fail,Authority,TikTok,16561,3676,285,466,290
8,2026-01-09,Your brain and sugar,Authority,Instagram,13838,2850,466,443,19
9,2026-01-10,Confidence secret,Curiosity,TikTok,1244,439,647,750,291
10,2026-01-11,Trauma and eating,Authority,Instagram,24942,2258,271,695,210
11,2026-01-12,Night eating causes,Authority,Instagram,49284,1868,842,562,523
12,2026-01-13,Hydration weight myth,POV,TikTok,20425,1121,812,98,375
13,2026-01-14,Metabolism truth,Curiosity,TikTok,46842,864,165,575,27
14,2026-01-15,Weight loss psychology,Authority,Instagram,33880,3122,416,226,428
15,2026-01-16,Food addiction truth,Emotional,TikTok,41995,4116,921,269,497
16,2026-01-17,Emotional eating signs,Authority,TikTok,1312,2003,582,740,467
17,2026-01-18,Hidden stress signals,POV,TikTok,8472,4350,516,748,60
18,2026-01-19,Burnout warning,Emotional,TikTok,2116,4951,510,754,476
19,2026-01-20,Gut health truth,Emotional,TikTok,16700,3810,514,765,252
